,state,startdate,enddate,pollster,grade,samplesize,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,pop_type__a,pop_type__lv,pop_type__rv,pop_type__v
509,Missouri,2016-10-04,2016-11-06,YouGov,0.5555555555555556,1799.0,35.8,43.3,5.4,0.0,36.63542,45.61292,5.111562,0.0,0,1,0,0
510,Wisconsin,2016-10-04,2016-11-06,YouGov,0.5555555555555556,1799.0,42.2,37.7,4.6,0.0,43.04806,40.18213,4.311562,0.0,0,1,0,0
511,North Carolina,2016-10-25,2016-10-26,Gravis Marketing,0.4444444444444445,1290.0,49.0,47.0,1.0,0.0,48.99979,47.74555,0.8480078,0.0,0,0,1,0
512,South Carolina,2016-10-24,2016-11-06,Ipsos,0.7777777777777777,249.0,43.61,49.43,7.381739907109681,0.0,43.22151,49.11307,4.659761409860664,0.0,0,1,0,0
513,Utah,2016-10-12,2016-10-14,YouGov,0.5555555555555556,956.0,20.0,37.0,7.0,20.0,21.01257,40.16217,5.781687,20.74372,0,1,0,0
514,Alabama,2016-10-04,2016-11-06,YouGov,0.5555555555555556,1367.0,31.6,52.6,3.8,0.0,32.41647,54.65902,3.511562,0.0,0,1,0,0
515,Louisiana,2016-10-04,2016-11-06,YouGov,0.5555555555555556,1367.0,35.9,47.3,5.2,0.0,36.72066,49.41523,4.911561,0.0,0,1,0,0
516,Florida,2016-09-27,2016-09-29,"Mason-Dixon Polling & Research, Inc.",0.6666666666666665,802.0,46.0,42.0,7.0,0.0,46.35485,44.84061,4.391355,0.0,0,1,0,0
517,Arizona,2016-10-04,2016-11-06,YouGov,0.5555555555555556,1572.0,37.8,46.3,4.3,0.0,38.64495,48.74047,4.011562,0.0,0,1,0,0
518,Colorado,2016-10-04,2016-11-06,YouGov,0.5555555555555556,1572.0,42.1,36.9,6.1,0.0,42.95185,39.43294,5.811562,0.0,0,1,0,0
519,Virginia,2016-09-21,2016-09-23,YouGov,0.5555555555555556,1226.0,45.0,37.0,7.0,0.0,47.86522,39.80223,4.733987,0.0,0,1,0,0
520,Arkansas,2016-10-17,2016-11-06,Ipsos,0.7777777777777777,341.0,38.14,53.35,7.381739907109681,0.0,37.15339,53.28384,4.659761409860664,0.0,0,1,0,0
521,Virginia,2016-10-25,2016-10-28,Roanoke College,0.3333333333333333,778.0,50.0,32.0,8.0,0.0,49.3176,35.102,7.430812,0.0,0,1,0,0
522,Nevada,2016-10-17,2016-11-06,Ipsos,0.7777777777777777,341.0,45.39,42.15,7.381739907109681,0.0,44.11241,41.82442,4.659761409860664,0.0,0,1,0,0
523,Arkansas,2016-11-01,2016-11-07,Google Consumer Surveys,0.5555555555555556,207.0,30.81,46.85,6.71,0.0,36.12087,52.37221,6.425792,0.0,0,1,0,0
524,New Mexico,2016-09-28,2016-10-02,SurveyUSA,0.8888888888888888,600.0,46.0,33.0,14.0,0.0,46.17883,34.88951,11.78552,0.0,0,1,0,0
525,Kentucky,2016-10-04,2016-11-06,YouGov,0.5555555555555556,1226.0,32.2,52.2,3.6,0.0,33.03649,54.52714,3.311562,0.0,0,1,0,0
526,South Carolina,2016-10-04,2016-11-06,YouGov,0.5555555555555556,1290.0,35.6,46.6,3.5,0.0,36.42044,48.71223,3.211562,0.0,0,1,0,0
527,Maine,2016-10-23,2016-11-06,Ipsos,0.7777777777777777,249.0,42.33,35.08,7.381739907109681,0.0,40.79369,33.89606,4.659761409860664,0.0,0,1,0,0
528,Florida,2016-10-03,2016-10-05,Marist College,0.8888888888888888,702.0,45.0,42.0,5.0,0.0,44.66534,45.47989,1.113961,0.0,0,1,0,0
529,Rhode Island,2016-10-02,2016-10-04,Emerson College,0.5555555555555556,600.0,52.0,32.0,5.0,0.0,53.34592,33.84899,2.453295,0.0,0,1,0,0
530,Idaho,2016-11-01,2016-11-07,Google Consumer Surveys,0.5555555555555556,207.0,30.38,34.5,6.0,0.0,35.70295,40.02782,5.715792,0.0,0,1,0,0
531,U.S.,2016-10-29,2016-10-30,Morning Consult,0.3333333333333333,1747.5,42.0,39.0,7.0,0.0,43.48819,40.93725,5.500263,0.0,0,1,0,0
532,Montana,2016-11-01,2016-11-07,Google Consumer Surveys,0.5555555555555556,207.0,34.62,34.96,4.94,0.0,39.94743,40.4899,4.655792,0.0,0,1,0,0
533,U.S.,2016-09-28,2016-10-02,CNN/Opinion Research Corp.,0.7777777777777777,1226.0,47.0,42.0,7.0,0.0,47.61501,42.74179,3.797116,0.0,0,1,0,0
534,Oregon,2016-10-04,2016-11-06,YouGov,0.5555555555555556,1116.0,43.8,36.0,5.4,0.0,44.65425,38.56513,5.111562,0.0,0,1,0,0
535,Iowa,2016-10-04,2016-11-06,YouGov,0.5555555555555556,956.0,40.4,37.3,5.6,0.0,41.2518,39.83217,5.311562,0.0,0,1,0,0
536,Connecticut,2016-10-04,2016-11-06,YouGov,0.5555555555555556,956.0,46.6,35.8,4.6,0.0,47.45573,38.38488,4.311562,0.0,0,1,0,0
537,Michigan,2016-10-29,2016-10-30,Strategic National,0.3333333333333333,500.0,45.0,44.0,5.0,0.0,45.50698,43.23981,4.885961,0.0,0,1,0,0
538,Oklahoma,2016-10-04,2016-11-06,YouGov,0.5555555555555556,956.0,26.8,53.4,7.6,0.0,27.63282,55.67799,7.311562,0.0,0,1,0,0
539,Alaska,2016-10-05,2016-10-06,Moore Information,0.5555555555555556,500.0,34.0,37.0,10.0,0.0,36.22323,41.1179,8.260216,0.0,0,1,0,0
540,Iowa,2016-10-03,2016-10-06,Selzer & Company,1.0,649.0,39.0,43.0,6.0,0.0,40.20326,46.04676,3.393093,0.0,0,1,0,0
541,North Carolina,2016-10-01,2016-10-06,High Point University,0.6666666666666665,465.0,43.0,42.0,8.0,0.0,44.18961,45.24543,4.707222,0.0,0,1,0,0
542,Mississippi,2016-10-04,2016-11-06,YouGov,0.5555555555555556,875.0,39.5,45.5,2.3,0.0,40.31188,47.49763,2.011562,0.0,0,1,0,0
543,Louisiana,2016-09-27,2016-09-30,Market Research Insight,0.6666666666666665,600.0,35.0,52.0,7.381739907109681,0.0,35.11723,52.65058,4.659761409860664,0.0,0,1,0,0
544,New Hampshire,2016-10-10,2016-10-12,MassINC Polling Group,0.7777777777777777,500.0,41.0,38.0,11.0,0.0,41.68005,42.14102,8.050727,0.0,0,1,0,0
545,U.S.,2016-09-26,2016-09-27,Echelon Insights,0.3333333333333333,1500.0,44.0,39.0,6.0,0.0,45.84324,42.00799,3.904806,0.0,0,1,0,0
546,Kansas,2016-10-04,2016-11-06,YouGov,0.5555555555555556,778.0,31.6,47.5,8.1,0.0,32.44735,49.97268,7.811562,0.0,0,1,0,0
547,Nebraska,2016-10-23,2016-11-06,Ipsos,0.7777777777777777,207.0,31.62,53.27,7.381739907109681,0.0,30.45644,52.40886,4.659761409860664,0.0,0,1,0,0
548,Illinois,2016-10-04,2016-10-05,Global Strategy Group,0.3333333333333333,600.0,50.0,33.0,6.0,0.0,50.83876,36.08292,3.331977,0.0,0,1,0,0
549,Arkansas,2016-10-04,2016-11-06,YouGov,0.5555555555555556,738.0,30.5,48.0,5.3,0.0,31.33578,50.31763,5.011562,0.0,0,1,0,0
550,Ohio,2016-10-01,2016-10-04,Monmouth University,1.0,403.0,44.0,42.0,5.0,0.0,43.995,44.63754,3.022429,0.0,0,1,0,0
551,Delaware,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,372.5,49.0,39.0,7.0,0.0,47.65325,38.37739,4.677361,0.0,0,1,0,0
552,North Carolina,2016-10-20,2016-10-26,Quinnipiac University,0.7777777777777777,702.0,47.0,43.0,5.0,0.0,47.5224,43.91345,3.891494,0.0,0,1,0,0
553,Colorado,2016-09-20,2016-09-25,CNN/Opinion Research Corp.,0.7777777777777777,778.0,41.0,42.0,13.0,0.0,42.41454,42.70934,9.46961,0.0,0,1,0,0
554,Missouri,2016-09-21,2016-09-23,YouGov,0.5555555555555556,1083.0,37.0,46.0,5.0,0.0,39.87519,48.81525,2.733987,0.0,0,1,0,0
555,Idaho,2016-10-23,2016-11-06,Ipsos,0.7777777777777777,207.0,30.06,53.26,7.381739907109681,0.0,28.61353,52.12383,4.659761409860664,0.0,0,1,0,0
556,Idaho,2016-09-28,2016-10-09,Dan Jones & Associates,0.3333333333333333,618.0,30.0,40.0,10.0,0.0,30.48929,42.84936,7.295102,0.0,0,1,0,0
557,Virginia,2016-10-23,2016-10-26,Christopher Newport University,0.4444444444444445,802.0,46.0,39.0,5.0,0.0,46.99551,42.28283,3.017012,0.0,0,1,0,0
558,U.S.,2016-10-05,2016-10-09,Public Religion Research Institute,0.3333333333333333,875.0,49.0,38.0,7.381739907109681,0.0,46.71446,40.22474,4.659761409860664,0.0,0,1,0,0
559,Hawaii,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,434.0,52.0,29.0,9.0,0.0,50.68395,28.3945,6.677361,0.0,0,1,0,0
560,U.S.,2016-09-21,2016-09-24,Selzer & Company,1.0,1000.0,41.0,43.0,8.0,0.0,43.34872,45.52443,4.665215,0.0,0,1,0,0
561,U.S.,2016-10-10,2016-10-13,NBC News/Wall Street Journal,0.7777777777777777,915.0,48.0,37.0,7.0,0.0,47.88134,41.03127,4.083302,0.0,0,1,0,0
562,District of Columbia,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,309.0,88.0,7.0,2.0,0.0,86.70544,6.406481,-0.3226397,0.0,0,1,0,0
563,U.S.,2016-10-30,2016-11-03,IBD/TIPP,0.7777777777777777,915.0,44.4,43.9,3.7,0.0,46.41406,43.79416,2.837214,0.0,0,1,0,0
564,Vermont,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,434.0,60.0,27.0,6.0,0.0,58.69109,26.39848,3.677361,0.0,0,1,0,0
565,Nevada,2016-10-04,2016-11-06,YouGov,0.5555555555555556,649.0,42.5,40.9,6.2,0.0,43.34121,43.29047,5.911561,0.0,0,1,0,0
566,New Hampshire,2016-10-23,2016-11-06,Ipsos,0.7777777777777777,207.0,44.42,41.81,7.381739907109681,0.0,42.77243,40.53161,4.659761409860664,0.0,0,1,0,0
567,New York,2016-09-21,2016-09-23,Marist College,0.8888888888888888,677.5,52.0,31.0,7.0,0.0,52.87294,34.22489,2.432178,0.0,0,1,0,0
568,Rhode Island,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,403.0,49.0,36.0,7.0,0.0,47.70524,35.40637,4.677361,0.0,0,1,0,0
569,South Dakota,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,434.0,31.0,53.0,12.0,0.0,29.66754,52.38535,9.677361,0.0,0,1,0,0
570,Mississippi,2016-10-23,2016-11-06,Ipsos,0.7777777777777777,174.0,35.93,53.09,7.381739907109681,0.0,35.95055,53.33839,4.659761409860664,0.0,0,1,0,0
571,Delaware,2016-11-01,2016-11-07,Google Consumer Surveys,0.5555555555555556,138.5,41.91,30.38,6.79,0.0,47.22361,35.90348,6.505792,0.0,0,1,0,0
572,West Virginia,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,434.0,27.0,57.0,8.0,0.0,25.66259,56.3826,5.677361,0.0,0,1,0,0
573,New Hampshire,2016-10-23,2016-10-25,Emerson College,0.5555555555555556,600.0,46.0,43.0,6.0,0.0,46.1059,43.23317,5.197937,0.0,0,1,0,0
574,Utah,2016-10-23,2016-10-24,Rasmussen Reports/Pulse Opinion Research,0.3333333333333333,738.0,28.0,32.0,4.0,29.0,28.55651,34.03584,3.249992,29.37186,0,1,0,0
575,Alaska,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,372.5,31.0,47.0,13.0,0.0,29.67449,46.38923,10.67736,0.0,0,1,0,0
576,West Virginia,2016-10-23,2016-11-06,Ipsos,0.7777777777777777,174.0,34.22,58.04,7.381739907109681,0.0,33.37355,57.49782,4.659761409860664,0.0,0,1,0,0
577,Montana,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,403.0,31.0,53.0,10.0,0.0,29.67213,52.38791,7.677361,0.0,0,1,0,0
578,Oregon,2016-10-06,2016-10-13,"Davis, Hibbitts & Midghall, Inc.",0.5555555555555556,600.0,43.0,36.0,7.0,0.0,45.24899,41.16027,4.63537,0.0,0,1,0,0
579,Colorado,2016-09-29,2016-10-02,Monmouth University,1.0,403.0,49.0,38.0,7.0,0.0,49.30967,40.78545,4.845498,0.0,0,1,0,0
580,Nebraska,2016-10-04,2016-11-06,YouGov,0.5555555555555556,500.0,32.3,44.9,6.5,0.0,33.14527,47.34476,6.211562,0.0,0,1,0,0
581,Nebraska,2016-09-25,2016-09-26,Emerson College,0.5555555555555556,702.0,29.3,55.7,7.3,0.0,31.15957,56.7193,4.268248,0.0,0,1,0,0
582,Maine CD-2,2016-10-02,2016-10-03,"Normington, Petts & Associates",0.3333333333333333,403.0,44.0,40.0,7.381739907109681,0.0,41.57277,40.56969,4.659761409860664,0.0,0,1,0,0
583,New Mexico,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,778.0,40.0,36.0,16.0,0.0,38.6647,35.38377,13.67736,0.0,0,1,0,0
584,North Dakota,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,286.0,29.0,57.0,10.0,0.0,27.68111,56.39292,7.677361,0.0,0,1,0,0
585,Oregon,2016-09-29,2016-10-01,Hoffman Research Group,0.4444444444444445,600.0,45.0,33.0,8.0,0.0,46.51082,36.79056,4.87238,0.0,0,1,0,0
586,Washington,2016-09-29,2016-10-03,Strategies 360,0.5555555555555556,500.0,47.0,31.0,10.0,0.0,48.78451,34.90513,6.631608,0.0,0,1,0,0
587,West Virginia,2016-10-04,2016-11-06,YouGov,0.5555555555555556,465.0,25.7,54.0,5.1,0.0,26.5461,56.45588,4.811562,0.0,0,1,0,0
588,Missouri,2016-10-23,2016-10-25,Remington,0.3333333333333333,2560.5,39.0,50.0,4.0,0.0,38.93812,50.3623,4.223038,0.0,0,1,0,0
589,New Hampshire,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,677.5,49.0,38.0,8.0,0.0,47.69939,37.40311,5.677361,0.0,0,1,0,0
590,Pennsylvania,2016-09-30,2016-10-03,Monmouth University,1.0,403.0,50.0,40.0,5.0,0.0,50.054,42.48673,2.934037,0.0,0,1,0,0
591,West Virginia,2016-11-01,2016-11-07,Google Consumer Surveys,0.5555555555555556,138.5,25.29,51.55,3.36,0.0,30.61045,57.07666,3.075792,0.0,0,1,0,0
592,Idaho,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,552.0,29.0,47.0,7.0,0.0,27.666,46.3845,4.677361,0.0,0,1,0,0
593,U.S.,2016-11-02,2016-11-05,IBD/TIPP,0.7777777777777777,915.0,43.0,44.0,5.0,0.0,44.89821,43.61472,4.316216,0.0,0,1,0,0
594,New Hampshire,2016-11-02,2016-11-05,University of New Hampshire,0.6666666666666665,649.0,47.0,41.0,6.0,0.0,46.8129,42.25803,6.453738,0.0,0,1,0,0
595,New Mexico,2016-10-04,2016-11-06,YouGov,0.5555555555555556,500.0,41.7,34.6,11.4,0.0,42.54776,37.07821,11.11156,0.0,0,1,0,0
596,Arizona,2016-09-28,2016-09-30,MBQF,0.3333333333333333,702.0,42.0,42.0,5.0,0.0,42.4395,45.0374,3.035051,0.0,0,1,0,0
597,Mississippi,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,677.5,41.0,50.0,4.0,0.0,39.61924,49.35843,1.677361,0.0,0,1,0,0
598,Maine,2016-10-04,2016-11-06,YouGov,0.5555555555555556,434.0,38.7,34.0,8.5,0.0,39.56763,36.74421,8.211561,0.0,0,1,0,0
599,Montana,2016-10-03,2016-10-10,Montana State University Billings,0.6666666666666665,600.0,27.0,43.0,7.0,0.0,30.28434,48.66671,5.17971,0.0,1,0,0,0
600,North Dakota,2016-10-28,2016-11-02,Ipsos,0.7777777777777777,138.5,26.18,49.74,7.381739907109681,0.0,24.61573,48.29412,4.659761409860664,0.0,0,1,0,0
601,Ohio,2016-09-27,2016-10-02,Anzalone Liszt Grove Research,0.2222222222222222,802.0,44.0,42.0,8.0,0.0,44.3691,45.61115,4.891461,0.0,0,1,0,0
602,U.S.,2016-09-22,2016-09-25,Monmouth University,1.0,738.0,46.0,42.0,8.0,0.0,46.91565,44.37389,5.463993,0.0,0,1,0,0
603,Washington,2016-09-25,2016-09-27,Emerson College,0.5555555555555556,702.0,44.2,38.4,7.1,0.0,46.17961,39.6095,4.068248,0.0,0,1,0,0
604,Idaho,2016-10-04,2016-11-06,YouGov,0.5555555555555556,403.0,25.3,44.8,6.5,0.0,26.14879,47.29198,6.211562,0.0,0,1,0,0
605,Minnesota,2016-09-23,2016-09-23,Gravis Marketing,0.4444444444444445,915.0,43.0,43.0,4.0,0.0,43.76096,43.35049,2.01118,0.0,0,1,0,0
606,South Dakota,2016-11-01,2016-11-07,Google Consumer Surveys,0.5555555555555556,138.5,35.48,36.34,6.67,0.0,40.80407,41.86834,6.385792,0.0,0,1,0,0
607,Ohio,2016-09-18,2016-09-20,Fox News/Anderson Robbins Research/Shaw & Company Research,0.8888888888888888,738.0,37.0,42.0,6.0,0.0,40.31923,44.94363,2.526235,0.0,0,1,0,0
608,North Carolina,2016-09-18,2016-09-20,Fox News/Anderson Robbins Research/Shaw & Company Research,0.8888888888888888,738.0,40.0,45.0,6.0,0.0,43.1473,47.72552,2.526235,0.0,0,1,0,0
609,U.S.,2016-10-30,2016-11-02,ABC News/Washington Post,1.0,1157.5,47.0,44.0,3.0,0.0,45.39959,43.04363,3.456292,0.0,0,1,0,0
610,New Hampshire,2016-10-04,2016-11-06,YouGov,0.5555555555555556,434.0,43.0,34.4,5.9,0.0,43.87514,37.24493,5.611562,0.0,0,1,0,0
611,Wyoming,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,207.0,22.0,58.0,10.0,0.0,20.66695,57.38503,7.677361,0.0,0,1,0,0
612,New Hampshire,2016-09-29,2016-10-02,Greenberg Quinlan Rosner (Democracy Corps),0.4444444444444445,500.0,46.0,38.0,7.0,0.0,46.55315,42.15598,3.01843,0.0,0,1,0,0
613,Utah,2016-10-17,2016-10-19,Emerson College,0.5555555555555556,702.0,24.0,27.0,5.0,31.0,24.05813,27.7106,3.344441,31.57469,0,1,0,0
614,New Mexico,2016-10-23,2016-11-06,Ipsos,0.7777777777777777,174.0,40.94,38.34,7.381739907109681,0.0,37.03153,34.73954,4.659761409860664,0.0,0,1,0,0
615,North Dakota,2016-11-01,2016-11-07,Google Consumer Surveys,0.5555555555555556,138.5,22.36,47.26,2.39,0.0,27.69401,52.79295,2.105792,0.0,0,1,0,0
616,Nevada,2016-09-18,2016-09-20,Fox News/Anderson Robbins Research/Shaw & Company Research,0.8888888888888888,702.0,40.0,43.0,8.0,0.0,43.32835,45.9552,4.526235,0.0,0,1,0,0
617,Maine,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,677.5,47.0,39.0,7.0,0.0,45.68986,38.3978,4.677361,0.0,0,1,0,0
618,New Hampshire,2016-09-25,2016-09-27,GBA Strategies,0.5555555555555556,600.0,43.0,37.0,11.0,0.0,44.83478,40.73279,7.094086,0.0,0,1,0,0
619,Tennessee,2016-09-28,2016-10-02,Middle Tennessee State University,0.4444444444444445,465.0,38.0,50.0,5.0,0.0,38.35871,52.02925,2.500907,0.0,0,1,0,0
620,Delaware,2016-09-16,2016-09-28,University of Delaware,0.3333333333333333,778.0,51.0,30.0,7.0,0.0,51.76935,32.83268,4.168295,0.0,0,1,0,0
621,Nevada,2016-09-27,2016-09-29,Suffolk University,0.6666666666666665,500.0,44.2,38.2,6.6,0.0,45.86932,41.35187,4.894629,0.0,0,1,0,0
622,Kentucky,2016-10-12,2016-10-14,Google Consumer Surveys,0.5555555555555556,802.0,28.4,31.8,5.7,0.0,35.1221,43.65698,3.197833,0.0,1,0,0,0
623,Utah,2016-10-09,2016-10-09,Google Consumer Surveys,0.5555555555555556,500.0,22.8,22.6,8.8,18.0,29.73673,34.48423,5.854334,18.87894,1,0,0,0
624,Wyoming,2016-11-01,2016-11-07,Google Consumer Surveys,0.5555555555555556,101.0,25.04,47.09,8.8,0.0,30.36364,52.61814,8.515792,0.0,0,1,0,0
625,Nevada,2016-10-25,2016-10-25,Gravis Marketing,0.4444444444444445,875.0,46.0,46.0,3.0,0.0,45.98796,47.0942,2.75558,0.0,0,0,1,0
626,Delaware,2016-10-23,2016-11-06,Ipsos,0.7777777777777777,138.5,52.03,36.42,7.381739907109681,0.0,51.107,35.78482,4.659761409860664,0.0,0,1,0,0
627,Florida,2016-10-27,2016-10-31,Trafalgar Group,0.2222222222222222,1157.5,44.82,48.68,2.17,0.0,44.73469,46.70103,2.788683,0.0,0,1,0,0
628,U.S.,2016-10-29,2016-11-01,ABC News/Washington Post,1.0,1157.5,47.0,45.0,3.0,0.0,45.4049,44.19081,3.354964,0.0,0,1,0,0
629,Florida,2016-11-01,2016-11-02,Opinion Savvy/InsiderAdvantage,0.1111111111111111,600.0,49.3,45.0,2.6,0.0,48.55114,44.51589,2.334642,0.0,0,1,0,0
630,Arkansas,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,802.0,34.0,55.0,6.0,0.0,32.64951,54.37531,3.677361,0.0,0,1,0,0
631,Montana,2016-10-04,2016-11-06,YouGov,0.5555555555555556,309.0,31.7,44.1,6.7,0.0,32.55363,46.65676,6.411561,0.0,0,1,0,0
632,New Hampshire,2016-11-01,2016-11-07,Google Consumer Surveys,0.5555555555555556,101.0,45.98,31.22,6.61,0.0,51.32739,36.75917,6.325792,0.0,0,1,0,0
633,Maine,2016-11-01,2016-11-07,Google Consumer Surveys,0.5555555555555556,101.0,52.03,21.28,8.0,0.0,57.37042,26.81593,7.715792,0.0,0,1,0,0
634,Nebraska,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,875.0,34.0,52.0,8.0,0.0,32.66153,51.38201,5.677361,0.0,0,1,0,0
635,U.S.,2016-09-28,2016-10-02,Fairleigh Dickinson University (PublicMind),0.8888888888888888,372.5,45.0,36.0,11.0,0.0,46.06268,38.99555,7.472933,0.0,0,1,0,0
636,U.S.,2016-10-15,2016-10-17,Fox News/Anderson Robbins Research/Shaw & Company Research,0.8888888888888888,915.0,45.0,39.0,5.0,0.0,46.23147,42.02316,3.093014,0.0,0,1,0,0
637,Louisiana,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,837.0,38.0,52.0,4.0,0.0,36.63036,51.36463,1.677361,0.0,0,1,0,0
638,Ohio,2016-09-09,2016-09-12,Selzer & Company,1.0,802.0,39.0,44.0,10.0,0.0,41.68402,46.8274,6.290682,0.0,0,1,0,0
639,Hawaii,2016-10-04,2016-11-06,YouGov,0.5555555555555556,286.0,50.3,27.9,4.1,0.0,51.16296,30.58176,3.811562,0.0,0,1,0,0
640,Rhode Island,2016-10-04,2016-11-06,YouGov,0.5555555555555556,286.0,47.0,29.2,5.2,0.0,47.87976,32.1068,4.911561,0.0,0,1,0,0
641,Alaska,2016-09-28,2016-10-02,Ivan Moore Research,0.2222222222222222,649.0,30.6,36.1,17.9,0.0,33.88858,40.94755,12.79869,0.0,0,0,1,0
642,New Hampshire,2016-10-07,2016-10-09,Public Policy Polling,0.6666666666666665,600.0,48.0,37.0,7.381739907109681,0.0,45.37965,37.41968,4.659761409860664,0.0,0,1,0,0
643,North Carolina,2016-10-10,2016-10-12,Emerson College,0.5555555555555556,600.0,46.0,42.0,5.0,0.0,46.36068,42.9659,2.933206,0.0,0,1,0,0
644,Nevada,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,1116.0,44.0,43.0,10.0,0.0,42.6564,42.37915,7.677361,0.0,0,1,0,0
645,Delaware,2016-10-04,2016-11-06,YouGov,0.5555555555555556,249.0,50.7,31.6,4.8,0.0,51.53873,33.95722,4.511562,0.0,0,1,0,0
646,Alabama,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,956.0,36.0,54.0,6.0,0.0,34.62504,53.36167,3.677361,0.0,0,1,0,0
647,Minnesota,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,1226.0,46.0,37.0,10.0,0.0,44.66669,36.38488,7.677361,0.0,0,1,0,0
648,Alaska,2016-11-01,2016-11-07,Google Consumer Surveys,0.5555555555555556,101.0,23.23,47.41,9.43,0.0,28.55916,52.9407,9.145792,0.0,0,1,0,0
649,U.S.,2016-10-28,2016-10-31,ABC News/Washington Post,1.0,1192.0,46.0,46.0,3.0,0.0,44.40672,45.38988,3.22218,0.0,0,1,0,0
650,Vermont,2016-11-01,2016-11-07,Google Consumer Surveys,0.5555555555555556,101.0,52.12,18.86,2.54,0.0,57.46132,24.39635,2.255792,0.0,0,1,0,0
651,California,2016-10-04,2016-10-14,YouGov,0.5555555555555556,1251.0,54.0,30.0,4.0,0.0,55.35651,33.30676,2.721781,0.0,0,1,0,0
652,New Hampshire,2016-11-01,2016-11-04,University of New Hampshire,0.6666666666666665,600.0,47.0,40.0,6.0,0.0,46.88702,41.31821,6.438669,0.0,0,1,0,0
653,U.S.,2016-10-12,2016-10-16,CBS News/New York Times,0.7777777777777777,778.0,47.0,38.0,8.0,0.0,47.32188,41.08916,5.20878,0.0,0,1,0,0
654,South Dakota,2016-10-04,2016-11-06,YouGov,0.5555555555555556,249.0,31.3,49.6,6.2,0.0,32.15001,52.10823,5.911561,0.0,0,1,0,0
655,Maryland,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,1041.0,60.0,29.0,6.0,0.0,58.64713,28.37398,3.677361,0.0,0,1,0,0
656,Massachusetts,2016-09-15,2016-09-20,YouGov,0.5555555555555556,702.0,47.0,34.0,9.0,0.0,50.55276,37.61334,6.582889,0.0,0,1,0,0
657,Montana,2016-10-23,2016-11-06,Ipsos,0.7777777777777777,101.0,34.75,53.66,7.381739907109681,0.0,32.20245,51.43355,4.659761409860664,0.0,0,1,0,0
658,U.S.,2016-10-30,2016-11-03,Ipsos,0.7777777777777777,2001.0,43.2,38.3,5.9,0.0,43.34223,38.39563,6.565732,0.0,0,1,0,0
659,Oklahoma,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,1116.0,32.0,56.0,10.0,0.0,30.64576,55.37321,7.677361,0.0,0,1,0,0
660,U.S.,2016-11-01,2016-11-04,IBD/TIPP,0.7777777777777777,802.0,44.2,43.7,4.8,0.0,46.16068,43.36544,4.101147,0.0,0,1,0,0
661,Pennsylvania,2016-10-04,2016-10-09,"Susquehanna Polling & Research, Inc.",0.4444444444444445,778.0,44.0,40.0,4.0,0.0,45.21432,43.39968,2.145739,0.0,0,1,0,0
662,Vermont,2016-10-28,2016-11-02,Ipsos,0.7777777777777777,101.0,48.27,23.4,7.381739907109681,0.0,47.44836,22.7059,4.659761409860664,0.0,0,1,0,0
663,Arizona,2016-10-29,2016-10-30,Data Orbital,0.3333333333333333,552.0,41.0,45.0,3.0,0.0,41.80068,45.49456,3.058455,0.0,0,1,0,0
664,Maine CD-1,2016-10-14,2016-10-15,Maine People's Resource Center,0.2222222222222222,465.0,45.5,35.5,7.9,0.0,47.00767,39.32568,5.432866,0.0,0,1,0,0
665,Kentucky,2016-10-30,2016-11-06,SurveyMonkey,0.1111111111111111,1157.5,35.0,53.0,6.0,0.0,33.65041,52.3758,3.677361,0.0,0,1,0,0
666,New Mexico,2016-09-27,2016-09-29,"Research & Polling, Inc.",0.8888888888888888,500.0,35.0,31.0,24.0,0.0,37.93401,34.56285,19.36413,0.0,0,1,0,0
667,Florida,2016-09-27,2016-10-04,University of North Florida,0.6666666666666665,677.5,41.0,38.0,6.0,0.0,43.69821,42.86513,2.65843,0.0,0,1,0,0
