,state,startdate,enddate,pollster,grade,samplesize,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,pop_type__a,pop_type__lv,pop_type__rv,pop_type__v,poll_wt,duration
1129,New Mexico,2016-10-07,2016-10-27,Ipsos,0.777777778,138.5,48.54,39.41,7.381739907,0,43.9759,37.55999,4.65976141,0,0,1,0,0,0.0671634,20
1130,New York,2016-10-21,2016-10-27,Ipsos,0.777777778,500,51.97,30.28,7.381739907,0,51.21643,31.2246,4.65976141,0,0,1,0,0,0.0671413,6
1131,Hawaii,2016-10-20,2016-10-24,Google Consumer Surveys,0.555555556,66,46.73,27.11,7.57,0,52.07689,35.157,5.93594,0,0,1,0,0,0.0668898,4
1132,Arkansas,2016-10-20,2016-10-24,Google Consumer Surveys,0.555555556,207,36.72,38.33,6.66,0,42.04025,46.03395,5.02594,0,0,1,0,0,0,4
1133,New Hampshire,2016-10-07,2016-10-27,Ipsos,0.777777778,174,44.41,40.21,7.381739907,0,42.10359,41.02376,4.65976141,0,0,1,0,0,0.0662415,20
1134,Delaware,2016-10-07,2016-10-27,Ipsos,0.777777778,101,47.87,36.17,7.381739907,0,46.29243,37.17253,4.65976141,0,0,1,0,0,0.0661944,20
1135,Montana,2016-10-07,2016-10-27,Ipsos,0.777777778,101,31.59,47.82,7.381739907,0,28.38613,47.41719,4.65976141,0,0,1,0,0,0.066028,20
1136,Florida,2016-09-07,2016-09-09,YouGov,0.555555556,1192,44,42,5,0,47.23942,45.33057,2.286246,0,0,1,0,0,0.0659223,2
1137,New York,2016-10-25,2016-10-31,Google Consumer Surveys,0.555555556,1226,42.3,30.2,5.21,0,47.72733,36.79164,4.268244,0,0,1,0,0,0.0658565,6
1138,Idaho,2016-10-07,2016-10-27,Ipsos,0.777777778,174,30.1,53.87,7.381739907,0,27.99777,54.4971,4.65976141,0,0,1,0,0,0.0658414,20
1139,U.S.,2016-10-19,2016-10-24,IBD/TIPP,0.777777778,875,41.6,40.8,8.4,0,43.50785,42.65813,6.366364,0,0,1,0,0,0.0657466,5
1140,Vermont,2016-10-20,2016-10-28,SurveyMonkey,0.111111111,465,53,25,9,0,51.65137,26.54386,5.611827,0,0,1,0,0,0.06555,8
1141,California,2016-09-07,2016-09-13,YouGov,0.555555556,1415,50,33,6,0,53.26923,36.30931,3.352577,0,0,1,0,0,0,6
1142,Florida,2016-10-25,2016-10-31,Google Consumer Surveys,0.555555556,1290,36.5,44.1,3.37,0,41.92147,50.66787,2.428244,0,0,1,0,0,0.0641021,6
1143,U.S.,2016-08-28,2016-09-01,George Washington University (Battleground),0.555555556,1000,42,40,11,0,44.99749,43.31367,6.336685,0,0,1,0,0,0.0637757,4
1144,Ohio,2016-10-07,2016-10-20,Ipsos,0.777777778,1799,43.41,42.75,7.381739907,0,41.80012,43.88145,4.65976141,0,0,1,0,0,0.0637419,13
1145,Rhode Island,2016-10-20,2016-10-24,Google Consumer Surveys,0.555555556,66,46.65,28.26,7.94,0,52.01336,36.51902,6.30594,0,0,1,0,0,0.0637101,4
1146,District of Columbia,2016-10-20,2016-10-24,Google Consumer Surveys,0.555555556,66,61.66,11.14,7.4,0,67.02351,19.40101,5.76594,0,0,1,0,0,0.0633228,4
1147,U.S.,2016-10-20,2016-10-24,Ipsos,0.777777778,1157.5,42.5,37.7,6.9,0,42.53602,39.75961,6.394883,0,0,1,0,0,0.0623017,4
1148,U.S.,2016-10-29,2016-11-04,USC Dornsife/LA Times,0.333333333,2969,42.56,47.96,7.381739907,0,44.30183,44.69964,4.65976141,0,0,1,0,0,0.0622146,6
1149,North Dakota,2016-10-20,2016-10-24,Google Consumer Surveys,0.555555556,66,19.8,46.07,6.22,0,25.14469,54.08871,4.58594,0,0,1,0,0,0.0621939,4
1150,Florida,2016-08-18,2016-08-24,icitizen,0.333333333,600,42,37,8,0,45.90239,43.72286,3.475313,0,0,0,1,0,0.0617389,6
1151,Oklahoma,2016-10-20,2016-10-24,Google Consumer Surveys,0.555555556,249,30.59,40.34,8.99,0,35.90735,48.0066,7.35594,0,0,1,0,0,0.061634,4
1152,Montana,2016-10-20,2016-10-24,Google Consumer Surveys,0.555555556,174,27.82,38.99,7.51,0,33.15775,46.91924,5.87594,0,0,1,0,0,0.0613649,4
1153,U.S.,2016-10-26,2016-11-01,CVOTER International,0.333333333,1367,48.81,48.14,7.381739907,0,46.77929,44.65897,4.65976141,0,0,1,0,0,0.0612339,6
1154,California,2016-08-23,2016-08-30,Tulchin Research,0.555555556,600,49,35,7.381739907,0,50.92435,37.15047,4.65976141,0,0,0,1,0,0,7
1155,Nevada,2016-10-20,2016-10-24,Google Consumer Surveys,0.555555556,249,36.38,33.18,8.3,0,41.70558,40.95258,6.66594,0,0,1,0,0,0.06097,4
1156,New Mexico,2016-10-20,2016-10-28,SurveyMonkey,0.111111111,1157.5,43,35,19,0,41.62889,36.31822,15.61183,0,0,1,0,0,0.0609067,8
1157,California,2016-10-21,2016-10-27,Ipsos,0.777777778,702,65.14,26.16,7.381739907,0,64.13215,26.85332,4.65976141,0,0,1,0,0,0,6
1158,Pennsylvania,2016-10-26,2016-10-30,Rasmussen Reports/Pulse Opinion Research,0.333333333,525,44,42,5,0,44.65727,43.14425,4.760954,0,0,1,0,0,0.0596156,4
1159,Ohio,2016-10-26,2016-10-30,Rasmussen Reports/Pulse Opinion Research,0.333333333,525,48,41,4,0,48.66836,42.18925,3.760954,0,0,1,0,0,0.0596156,4
1160,Nevada,2016-10-26,2016-10-30,Rasmussen Reports/Pulse Opinion Research,0.333333333,525,43,41,9,0,43.66943,42.19358,8.760954,0,0,1,0,0,0.0596156,4
1161,New Hampshire,2016-10-26,2016-10-30,Rasmussen Reports/Pulse Opinion Research,0.333333333,525,46,40,6,0,46.72089,41.40244,5.760954,0,0,1,0,0,0.0596156,4
1162,North Carolina,2016-10-26,2016-10-30,Rasmussen Reports/Pulse Opinion Research,0.333333333,525,44,46,5,0,44.64828,47.10775,4.760954,0,0,1,0,0,0.0596156,4
1163,New Hampshire,2016-10-20,2016-10-28,SurveyMonkey,0.111111111,837,48,36,11,0,46.65844,37.61486,7.611827,0,0,1,0,0,0.0591059,8
1164,South Dakota,2016-10-20,2016-10-28,SurveyMonkey,0.111111111,372.5,30,53,11,0,28.63131,54.3425,7.611827,0,0,1,0,0,0.0589929,8
1165,Florida,2016-10-26,2016-10-30,Rasmussen Reports/Pulse Opinion Research,0.333333333,525,43,48,3,0,43.66631,49.18093,2.760954,0,0,1,0,0,0.0588863,4
1166,Mississippi,2016-10-20,2016-10-28,SurveyMonkey,0.111111111,802,42,49,5,0,40.59015,49.92947,1.611826,0,0,1,0,0,0.0584191,8
1167,U.S.,2016-09-09,2016-09-13,CBS News/New York Times,0.777777778,915,42,42,8,0,44.50577,45.14972,3.554687,0,0,1,0,0,0.0582395,4
1168,Ohio,2016-09-07,2016-09-09,YouGov,0.555555556,1000,46,39,7,0,49.25855,42.35583,4.286246,0,0,1,0,0,0.0580026,2
1169,U.S.,2016-10-31,2016-11-02,The Times-Picayune/Lucid,0.333333333,2615,44,39,6,0,44.42627,41.62366,4.600952,0,0,1,0,0,0.0579991,2
1170,Wisconsin,2016-08-26,2016-08-27,Public Policy Polling,0.666666667,1041,48,41,7.381739907,0,47.56371,41.77803,4.65976141,0,0,1,0,0,0.0578893,1
1171,Missouri,2016-10-14,2016-10-27,Ipsos,0.777777778,341,41.67,47.61,7.381739907,0,39.96693,48.00246,4.65976141,0,0,1,0,0,0.0577779,13
1172,Nebraska,2016-10-20,2016-10-24,Google Consumer Surveys,0.555555556,207,25.43,46.87,7.41,0,30.75955,54.69372,5.77594,0,0,1,0,0,0.0572202,4
1173,U.S.,2016-10-19,2016-10-23,Ipsos,0.777777778,1192,42.5,36.7,6.8,0,42.5397,38.90229,6.186802,0,0,1,0,0,0.057181,4
1174,Virginia,2016-08-04,2016-08-10,Marist College,0.888888889,915,43,31,12,0,44.64858,38.0241,6.414722,0,0,0,1,0,0.0571561,6
1175,New Hampshire,2016-10-23,2016-10-25,Rasmussen Reports/Pulse Opinion Research,0.333333333,525,45,41,7,0,45.6254,43.42415,6.337899,0,0,1,0,0,0.05666,2
1176,Nevada,2016-10-23,2016-10-25,Rasmussen Reports/Pulse Opinion Research,0.333333333,525,45,41,9,0,45.58877,43.05654,8.337899,0,0,1,0,0,0.05666,2
1177,Maryland,2016-10-14,2016-10-27,Ipsos,0.777777778,403,53.64,33.56,7.381739907,0,52.47089,34.46756,4.65976141,0,0,1,0,0,0.056543,13
1178,Connecticut,2016-10-21,2016-11-03,Ipsos,0.777777778,341,48.95,41.48,7.381739907,0,47.8588,41.19305,4.65976141,0,0,1,0,0,0,13
1179,U.S.,2016-10-18,2016-10-23,IBD/TIPP,0.777777778,802,41.2,41.1,7.7,0,43.11153,43.10081,5.558283,0,0,1,0,0,0.0561969,5
1180,U.S.,2016-10-31,2016-10-31,Gravis Marketing,0.444444444,5360,46,45,4,0,46.04416,44.79836,4.454841,0,0,0,1,0,0.0561657,0
1181,West Virginia,2016-10-20,2016-10-28,SurveyMonkey,0.111111111,372.5,28,61,6,0,26.62709,62.30016,2.611826,0,0,1,0,0,0.0561386,8
1182,South Carolina,2016-10-21,2016-11-03,Ipsos,0.777777778,249,44.27,49.19,7.381739907,0,43.73463,49.29519,4.65976141,0,0,1,0,0,0.0560297,13
1183,Missouri,2016-10-21,2016-11-03,Ipsos,0.777777778,403,40.06,48.67,7.381739907,0,38.81743,48.13749,4.65976141,0,0,1,0,0,0.0558842,13
1184,Alabama,2016-10-21,2016-11-03,Ipsos,0.777777778,309,38.37,55.07,7.381739907,0,37.70364,55.02576,4.65976141,0,0,1,0,0,0,13
1185,Mississippi,2016-08-11,2016-08-11,Magellan Strategies,0.222222222,1083,39,52,3,0,40.01066,55.5661,-0.5541347,0,0,1,0,0,0.0552535,0
1186,Michigan,2016-09-10,2016-09-13,EPIC-MRA,0.777777778,600,38,35,10,0,41.76404,39.32707,5.811982,0,0,1,0,0,0.0552431,3
1187,Florida,2016-08-22,2016-08-24,"Mason-Dixon Polling & Research, Inc.",0.666666667,618,44,42,6,0,45.23872,45.68935,2.581736,0,0,1,0,0,0.054843,2
1188,Arizona,2016-10-11,2016-10-12,Data Orbital,0.333333333,552,43,42,5,0,43.97714,45.18568,3.189085,0,0,1,0,0,0,1
1189,Maine,2016-10-15,2016-10-19,Google Consumer Surveys,0.555555556,138.5,36.58,36.27,6.56,0,42.03658,45.15422,4.39114,0,0,1,0,0,0.0545609,4
1190,Virginia,2016-09-27,2016-09-30,Christopher Newport University,0.444444444,875,42,35,12,0,44.37032,39.61199,7.830428,0,0,1,0,0,0.0544755,3
1191,New Mexico,2016-10-20,2016-10-24,Google Consumer Surveys,0.555555556,207,47.68,23.64,11.78,0,53.012,31.49524,10.14594,0,0,1,0,0,0.0543078,4
1192,Kentucky,2016-10-21,2016-11-03,Ipsos,0.777777778,372.5,36.01,59.44,7.381739907,0,35.30869,59.45367,4.65976141,0,0,1,0,0,0.054286,13
1193,Louisiana,2016-10-20,2016-10-24,Google Consumer Surveys,0.555555556,286,34.12,44.79,6.36,0,39.42543,52.30327,4.72594,0,0,1,0,0,0.0540539,4
1194,Texas,2016-10-21,2016-10-27,Ipsos,0.777777778,500,33.95,48.36,7.381739907,0,32.75519,48.78863,4.65976141,0,0,1,0,0,0.0539958,6
1195,West Virginia,2016-08-09,2016-08-28,R.L. Repass & Partners,0.333333333,372.5,31,49,10,0,32.62628,54.49351,5.666306,0,0,1,0,0,0.0539444,19
1196,Michigan,2016-10-14,2016-10-20,Ipsos,0.777777778,434,45.18,40.82,7.381739907,0,43.29627,41.57389,4.65976141,0,0,1,0,0,0.0536227,6
1197,Arizona,2016-10-14,2016-10-27,Ipsos,0.777777778,552,43.32,42.1,7.381739907,0,41.68376,42.67731,4.65976141,0,0,1,0,0,0,13
1198,Indiana,2016-08-13,2016-08-16,Monmouth University,1,403,36,47,10,0,36.70201,50.92336,6.892016,0,0,1,0,0,0.0535084,3
1199,North Carolina,2016-09-23,2016-09-23,Gravis Marketing,0.444444444,702,44,43,7,0,44.49483,42.99173,5.01118,0,0,1,0,0,0.0532468,0
1200,U.S.,2016-08-16,2016-09-12,Pew Research Center,0.666666667,4002,45,38,10,0,47.29717,42.37109,4.70738,0,0,0,1,0,0.0528846,27
1201,California,2016-10-25,2016-10-31,Google Consumer Surveys,0.555555556,1367,46.27,26.85,6.51,0,51.6978,33.44354,5.568244,0,0,1,0,0,0,6
1202,District of Columbia,2016-10-29,2016-11-04,SurveyMonkey,0.111111111,341,87,6,2,0,85.77016,5.683767,-0.4865732,0,0,1,0,0,0.0522317,6
1203,Florida,2016-10-10,2016-10-11,Opinion Savvy/InsiderAdvantage,0.111111111,525,46.9,44.1,5.3,0,46.40449,46.70115,2.776563,0,0,1,0,0,0.0518869,1
1204,Oregon,2016-10-21,2016-11-03,Ipsos,0.777777778,465,46.76,38.13,7.381739907,0,45.48671,37.65413,4.65976141,0,0,1,0,0,0.0518866,13
1205,Maryland,2016-10-21,2016-11-03,Ipsos,0.777777778,465,53.26,35.12,7.381739907,0,52.55059,35.1136,4.65976141,0,0,1,0,0,0.0517968,13
1206,Alaska,2016-10-15,2016-10-19,Google Consumer Surveys,0.555555556,101,28.07,36.9,9.09,0,33.50864,45.58635,6.92114,0,0,1,0,0,0,4
1207,Colorado,2016-10-21,2016-11-03,Ipsos,0.777777778,552,47.59,42.23,7.381739907,0,45.73859,41.16486,4.65976141,0,0,1,0,0,0,13
1208,Maine,2016-08-04,2016-08-08,Gravis Marketing,0.444444444,2052,43,33,10,0,44.95999,37.80678,6.995924,0,0,0,1,0,0.0514514,4
1209,Mississippi,2016-10-20,2016-10-24,Google Consumer Surveys,0.555555556,207,32.48,46.54,4.59,0,37.77683,53.94247,2.95594,0,0,1,0,0,0.0514486,4
1210,Nebraska,2016-10-20,2016-11-03,Ipsos,0.777777778,207,31.38,53.13,7.381739907,0,30.05303,52.77858,4.65976141,0,0,1,0,0,0.0511329,14
1211,Oregon,2016-09-01,2016-09-06,"Davis, Hibbitts & Midghall, Inc.",0.555555556,525,38,25,10,0,43.76634,32.514,5.35076,0,0,0,1,0,0.0511273,5
1212,Virginia,2016-08-30,2016-09-01,Emerson College,0.555555556,802,44,43,11,0,46.48059,44.49127,7.24349,0,0,1,0,0,0.051121,2
1213,Colorado,2016-10-14,2016-10-27,Ipsos,0.777777778,434,45.51,43.35,7.381739907,0,43.18961,43.32872,4.65976141,0,0,1,0,0,0,13
1214,New Hampshire,2016-08-30,2016-08-31,Public Policy Polling,0.666666667,600,46,41,7.381739907,0,45.03825,41.26069,4.65976141,0,0,1,0,0,0.0509884,1
1215,Colorado,2016-08-04,2016-08-10,Marist College,0.888888889,915,41,29,15,0,42.88035,36.42384,9.414722,0,0,0,1,0,0,6
1216,Utah,2016-09-12,2016-09-19,Dan Jones & Associates,0.333333333,802,25,34,13,12,26.6939,36.23783,9.008471,13.65646,0,1,0,0,0.0507704,7
1217,U.S.,2016-10-18,2016-10-22,Ipsos,0.777777778,1157.5,44.1,35.6,6.6,0,44.14998,37.94928,5.85585,0,0,1,0,0,0.0507157,4
1218,Delaware,2016-10-29,2016-11-04,SurveyMonkey,0.111111111,403,51,36,8,0,49.70603,35.6035,5.513427,0,0,1,0,0,0,6
1219,Hawaii,2016-10-15,2016-10-19,Google Consumer Surveys,0.555555556,101,49.02,27.28,4.87,0,54.46968,36.08817,2.701139,0,0,1,0,0,0.0504929,4
1220,U.S.,2016-10-10,2016-10-14,Ipsos,0.777777778,2433.5,43.2,39,5.6,0,43.52197,42.07421,4.162249,0,0,1,0,0,0.0503573,4
1221,Maine,2016-10-20,2016-11-03,Ipsos,0.777777778,249,45.46,37.22,7.381739907,0,43.75814,36.62348,4.65976141,0,0,1,0,0,0.0503099,14
1222,Washington,2016-10-14,2016-10-27,Ipsos,0.777777778,465,46.58,37.44,7.381739907,0,45.01968,38.23816,4.65976141,0,0,1,0,0,0.0502197,13
1223,Hawaii,2016-10-29,2016-11-04,SurveyMonkey,0.111111111,465,53,28,8,0,51.74376,27.65071,5.513427,0,0,1,0,0,0.0501823,6
1224,Arizona,2016-10-07,2016-10-13,Ipsos,0.777777778,875,38.92,44.56,7.381739907,0,37.30004,45.61018,4.65976141,0,0,1,0,0,0,6
1225,Pennsylvania,2016-09-12,2016-09-16,Muhlenberg College,0.888888889,403,40,32,14,0,43.50745,36.40122,9.011621,0,0,1,0,0,0.0500276,4
1226,U.S.,2016-10-28,2016-11-03,USC Dornsife/LA Times,0.333333333,2969,43.38,46.89,7.381739907,0,45.08903,43.73871,4.65976141,0,0,1,0,0,0.0499473,6
1227,New Hampshire,2016-10-20,2016-11-03,Ipsos,0.777777778,207,46.37,39.88,7.381739907,0,44.55617,39.21516,4.65976141,0,0,1,0,0,0.0499231,14
1228,Tennessee,2016-10-21,2016-11-03,Ipsos,0.777777778,525,35.18,49.82,7.381739907,0,34.58702,49.93793,4.65976141,0,0,1,0,0,0.0497731,13
1229,Michigan,2016-11-01,2016-11-01,Mitchell Research & Communications,0,875,47,44,4,0,45.95749,43.19753,4.130907,0,0,1,0,0,0.0496835,0
1230,Wisconsin,2016-10-21,2016-11-03,Ipsos,0.777777778,649,47.18,39.99,7.381739907,0,46.31443,39.8931,4.65976141,0,0,1,0,0,0.0496519,13
1231,U.S.,2016-10-17,2016-10-22,IBD/TIPP,0.777777778,778,40.8,42.6,7.2,0,42.72181,44.74781,4.927331,0,0,1,0,0,0.0495924,5
1232,Pennsylvania,2016-08-30,2016-08-31,Public Policy Polling,0.666666667,802,47,42,7.381739907,0,46.45833,42.44173,4.65976141,0,0,1,0,0,0.0494805,1
1233,Pennsylvania,2016-08-25,2016-08-29,Franklin & Marshall College,0.666666667,500,45,40,5,0,47.01144,45.05825,1.340711,0,0,1,0,0,0.0491851,4
1234,Arizona,2016-10-21,2016-11-02,Ipsos,0.777777778,600,42.92,44.58,7.381739907,0,41.69211,44.3258,4.65976141,0,0,1,0,0,0,12
1235,Idaho,2016-10-20,2016-10-28,SurveyMonkey,0.111111111,465,29,48,15,0,27.63,49.32936,11.61183,0,0,1,0,0,0.0488566,8
1236,Tennessee,2016-10-14,2016-10-27,Ipsos,0.777777778,403,35.41,42.95,7.381739907,0,34.35643,43.99424,4.65976141,0,0,1,0,0,0.0488302,13
1237,Washington,2016-10-21,2016-11-03,Ipsos,0.777777778,552,46.44,39.43,7.381739907,0,45.35114,39.14962,4.65976141,0,0,1,0,0,0.0485788,13
1238,Iowa,2016-08-03,2016-08-07,Marist College,0.888888889,915,35,35,12,0,36.8509,42.41409,6.466486,0,0,0,1,0,0.0484933,4
1239,Florida,2016-10-21,2016-10-27,Ipsos,0.777777778,802,48.51,44.61,7.381739907,0,47.97427,45.73478,4.65976141,0,0,1,0,0,0.0484024,6
1240,West Virginia,2016-10-20,2016-11-03,Ipsos,0.777777778,174,34.53,58.26,7.381739907,0,33.52007,58.23043,4.65976141,0,0,1,0,0,0.0483264,14
1241,Vermont,2016-10-29,2016-11-04,SurveyMonkey,0.111111111,465,59,25,9,0,57.75252,24.66169,6.513427,0,0,1,0,0,0.0481705,6
1242,New Hampshire,2016-10-20,2016-10-24,Google Consumer Surveys,0.555555556,66,29.52,38.1,5.36,0,34.87883,46.30073,3.72594,0,0,1,0,0,0.0481533,4
1243,Wyoming,2016-10-18,2016-10-26,SurveyMonkey,0.111111111,372.5,25,59,9,0,23.61162,60.68141,5.342578,0,0,1,0,0,0.0481211,8
1244,Delaware,2016-10-20,2016-10-24,Google Consumer Surveys,0.555555556,66,34.21,33.26,5.64,0,39.53314,41.00125,4.00594,0,0,1,0,0,0,4
1245,Idaho,2016-10-20,2016-11-03,Ipsos,0.777777778,174,29.97,51.68,7.381739907,0,28.35979,51.0658,4.65976141,0,0,1,0,0,0.0479829,14
1246,Wisconsin,2016-10-14,2016-10-27,Ipsos,0.777777778,525,46.75,41.62,7.381739907,0,45.4174,42.5395,4.65976141,0,0,1,0,0,0.0479754,13
1247,Rhode Island,2016-10-29,2016-11-04,SurveyMonkey,0.111111111,403,49,36,8,0,47.76992,35.68346,5.513427,0,0,1,0,0,0.0478779,6
1248,New Hampshire,2016-08-26,2016-08-28,Public Policy Polling,0.666666667,956,46,40,7.381739907,0,45.02595,40.41536,4.65976141,0,0,1,0,0,0.0476029,2
1249,Wyoming,2016-10-29,2016-11-04,SurveyMonkey,0.111111111,207,22,60,8,0,20.72286,59.62456,5.513427,0,0,1,0,0,0.0475932,6
1250,North Carolina,2016-10-18,2016-10-25,Rasmussen Reports/Pulse Opinion Research,0.333333333,875,46,43,6,0,46.55675,45.20969,5.068651,0,0,1,0,0,0.0474141,7
1251,Ohio,2016-10-18,2016-10-25,Rasmussen Reports/Pulse Opinion Research,0.333333333,875,41,44,6,0,41.56973,46.37677,5.068651,0,0,1,0,0,0.0474141,7
1252,Pennsylvania,2016-10-18,2016-10-25,Rasmussen Reports/Pulse Opinion Research,0.333333333,875,48,40,5,0,48.56256,42.28453,4.068651,0,0,1,0,0,0.0474141,7
1253,Minnesota,2016-10-21,2016-11-03,Ipsos,0.777777778,649,42.41,36.96,7.381739907,0,40.86632,36.19091,4.65976141,0,0,1,0,0,0.047314,13
1254,U.S.,2016-10-17,2016-10-21,Ipsos,0.777777778,1192,43.8,37.5,5.7,0,43.86629,39.98563,4.836166,0,0,1,0,0,0.0470985,4
1255,U.S.,2016-10-25,2016-10-27,Rasmussen Reports/Pulse Opinion Research,0.333333333,1500,45,45,3,0,45.65689,46.62687,2.531338,0,0,1,0,0,0.0470127,2
1256,U.S.,2016-08-12,2016-08-13,Zogby Interactive/JZ Analytics,0.111111111,1290,38,36,8,0,40.32465,43.11979,5.189102,0,0,1,0,0,0.046806,1
1257,Montana,2016-10-29,2016-11-04,SurveyMonkey,0.111111111,434,32,53,9,0,30.72923,52.63253,6.513427,0,0,1,0,0,0.0467922,6
1258,Arizona,2016-08-27,2016-08-27,Gravis Marketing,0.444444444,1251,40,44,8,0,41.17548,45.17292,5.38864,0,0,1,0,0,0,0
1259,North Dakota,2016-10-29,2016-11-04,SurveyMonkey,0.111111111,286,29,57,10,0,27.74027,56.64635,7.513427,0,0,1,0,0,0.0466694,6
1260,Minnesota,2016-10-14,2016-10-27,Ipsos,0.777777778,500,40.56,37.43,7.381739907,0,38.54865,37.68657,4.65976141,0,0,1,0,0,0.0465404,13
1261,Mississippi,2016-10-20,2016-11-03,Ipsos,0.777777778,174,34.24,53.55,7.381739907,0,34.10035,54.1921,4.65976141,0,0,1,0,0,0.0465112,14
1262,Florida,2016-10-18,2016-10-25,Rasmussen Reports/Pulse Opinion Research,0.333333333,875,45,44,2,0,45.5684,46.35973,1.06865,0,0,1,0,0,0.0464304,7
1263,New Hampshire,2016-10-15,2016-10-19,Google Consumer Surveys,0.555555556,101,41.91,29.45,4.48,0,47.37769,38.45687,2.31114,0,0,1,0,0,0.0462057,4
1264,New Mexico,2016-10-20,2016-11-03,Ipsos,0.777777778,138.5,44.68,41.92,7.381739907,0,40.60789,38.83793,4.65976141,0,0,1,0,0,0.0461711,14
1265,U.S.,2016-10-16,2016-10-21,IBD/TIPP,0.777777778,802,39.7,42.1,7.3,0,41.63813,44.38416,4.907649,0,0,1,0,0,0.0460841,5
1266,Ohio,2016-09-15,2016-09-22,TargetSmart/William & Mary,0.333333333,649,40,37,8,0,42.41846,41.4394,4.271125,0,0,1,0,0,0.0459974,7
1267,North Carolina,2016-10-07,2016-10-13,Ipsos,0.777777778,1041,46.33,42.42,7.381739907,0,45.15418,43.65235,4.65976141,0,0,1,0,0,0.045726,6
1268,North Carolina,2016-08-27,2016-08-29,Emerson College,0.555555556,802,43.4,44.8,7.7,0,45.75733,46.23088,3.943248,0,0,1,0,0,0.0457163,2
1269,Delaware,2016-10-28,2016-11-03,SurveyMonkey,0.111111111,403,50,36,8,0,48.71128,35.74899,5.412099,0,0,1,0,0,0,6
1270,Rhode Island,2016-10-15,2016-10-19,Google Consumer Surveys,0.555555556,66,45.07,32.76,4.1,0,50.54452,41.8422,1.931139,0,0,1,0,0,0.0451988,4
1271,Kansas,2016-10-20,2016-10-24,Google Consumer Surveys,0.555555556,286,36.26,32.61,9.2,0,41.59159,40.46002,7.56594,0,0,1,0,0,0.0450969,4
1272,South Dakota,2016-10-29,2016-11-04,SurveyMonkey,0.111111111,434,30,53,13,0,28.72358,52.62547,10.51343,0,0,1,0,0,0.0449444,6
1273,District of Columbia,2016-10-28,2016-11-03,SurveyMonkey,0.111111111,309,85,5,3,0,83.7766,4.8622,0.4120986,0,0,1,0,0,0.0448298,6
1274,Connecticut,2016-10-20,2016-10-24,Google Consumer Surveys,0.555555556,341,43.34,31.95,3.81,0,48.6798,39.90573,2.17594,0,0,1,0,0,0,4
1275,Kansas,2016-10-20,2016-10-28,SurveyMonkey,0.111111111,1611,36,47,12,0,34.62844,48.31374,8.611827,0,0,1,0,0,0.0443059,8
1276,U.S.,2016-10-09,2016-10-13,Ipsos,0.777777778,2433.5,43.7,37.7,5.7,0,44.08518,40.78216,4.199399,0,0,1,0,0,0.0441991,4
1277,U.S.,2016-10-30,2016-11-01,The Times-Picayune/Lucid,0.333333333,2615,43,40,6,0,43.43158,42.77084,4.499624,0,0,1,0,0,0.0441201,2
1278,Alaska,2016-10-29,2016-11-04,SurveyMonkey,0.111111111,372.5,33,46,13,0,31.73213,45.63616,10.51343,0,0,1,0,0,0,6
1279,West Virginia,2016-10-29,2016-11-04,SurveyMonkey,0.111111111,434,27,57,7,0,25.7175,56.61785,4.513427,0,0,1,0,0,0.0437184,6
1280,Maine CD-2,2016-09-15,2016-09-17,Maine People's Resource Center,0.222222222,403,33.2,44.3,9.9,0,37.02057,47.84314,5.839737,0,0,1,0,0,0.0433283,2
1281,District of Columbia,2016-10-18,2016-10-26,SurveyMonkey,0.111111111,552,87,5,4,0,85.6414,7.064778,0.3425779,0,0,1,0,0,0.0433149,8
1282,Pennsylvania,2016-10-13,2016-10-20,Rasmussen Reports/Pulse Opinion Research,0.333333333,875,44,41,6,0,44.65052,43.93583,4.53385,0,0,1,0,0,0.0433029,7
1283,North Carolina,2016-10-13,2016-10-20,Rasmussen Reports/Pulse Opinion Research,0.333333333,875,46,41,6,0,46.64175,43.8391,4.53385,0,0,1,0,0,0.0433029,7
1284,Ohio,2016-10-13,2016-10-20,Rasmussen Reports/Pulse Opinion Research,0.333333333,875,42,43,6,0,42.66132,46.05506,4.53385,0,0,1,0,0,0.0433029,7
1285,Delaware,2016-10-15,2016-10-19,Google Consumer Surveys,0.555555556,101,37.21,28.18,12.04,0,42.62385,36.59296,9.87114,0,0,1,0,0,0,4
1286,Florida,2016-09-10,2016-09-16,Saint Leo University,0.333333333,465,49.4,43.6,5.7,0,50.41451,49.04922,1.341396,0,0,1,0,0,0.043143,6
1287,Arizona,2016-08-25,2016-08-27,MBQF,0.333333333,738,40,39,7,0,41.47346,42.77515,4.175661,0,0,1,0,0,0,2
1288,U.S.,2016-10-16,2016-10-20,Ipsos,0.777777778,1192,45.5,37,5.4,0,45.59536,39.61373,4.446491,0,0,1,0,0,0.0430927,4
1289,Arkansas,2016-10-14,2016-11-02,Ipsos,0.777777778,403,37.33,52.4,7.381739907,0,36.1018,52.79929,4.65976141,0,0,1,0,0,0,19
1290,U.S.,2016-08-09,2016-08-15,"Normington, Petts & Associates",0.333333333,1000,45,37,8,0,47.58948,43.93687,3.783107,0,0,0,1,0,0.0428702,6
